Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level,Country_Code,AI_Risk_Score,Risk_Level,Scenario_Low_Rainfall,Scenario_High_Demand,Estimated_Energy_Use_MWh,Estimated_CO2_Emissions_tons,AI_Policy_Insight
Australia,2009,442.79875,258.61625,47.38875,25.6975,26.46625,980.3125,2.75375,Moderate,1,1,Low,735.234375,509.21856249999996,177.11950000000002,145.23799,Sustainable usage observed. Continue monitoring.
Australia,2010,556.146,235.882,43.208,25.952,27.277,1605.123,3.443,Moderate,1,1,Low,1203.8422500000001,639.5678999999999,222.45839999999998,182.41588799999997,Sustainable usage observed. Continue monitoring.
Australia,2011,467.7744444,281.5111111,52.68222222,30.69777778,22.74777778,1955.788889,2.916666667,Moderate,1,1,Low,1466.84166675,537.9406110599999,187.10977776000001,153.4300177632,Sustainable usage observed. Continue monitoring.
Australia,2012,498.1664706,265.8988235,55.87176471,26.75352941,24.42,1286.410588,2.429411765,Moderate,1,1,Low,964.807941,572.89144119,199.26658824000003,163.3986023568,Sustainable usage observed. Continue monitoring.
Australia,2013,426.5841667,258.6558333,53.82833333,32.01416667,20.19083333,1619.6325,2.85,Moderate,1,1,Low,1214.724375,490.571791705,170.63366668000003,139.91960667760003,Sustainable usage observed. Continue monitoring.
Australia,2014,538.1064286,290.0314286,60.51285714,28.47571429,22.62214286,1414.902857,2.522857143,Moderate,1,2,Moderate,1061.17714275,618.82239289,215.24257144,176.4989085808,Preventive planning recommended: efficiency & rainfall resilience.
Australia,2015,521.4066667,286.9333333,65.12444444,32.24444444,24.15111111,1394.204444,3.284444444,Moderate,1,2,Moderate,1045.653333,599.6176667049999,208.56266668,171.0213866776,Preventive planning recommended: efficiency & rainfall resilience.
Australia,2016,446.722,261.3993333,59.50533333,25.97133333,23.10933333,1370.126,2.992,Moderate,1,1,Low,1027.5945,513.7302999999999,178.68880000000001,146.52481600000002,Sustainable usage observed. Continue monitoring.
Australia,2017,626.71625,314.8475,55.92,31.86375,24.64375,1009.385,2.37375,Low,1,1,Low,757.0387499999999,720.7236874999999,250.6865,205.56293,Sustainable usage observed. Continue monitoring.
Australia,2018,603.2993333,288.7166667,56.09066667,34.11,25.41866667,1299.113333,2.625333333,Moderate,1,1,Low,974.33499975,693.7942332949999,241.31973331999998,197.8821813224,Sustainable usage observed. Continue monitoring.
Australia,2019,548.0716667,299.96,40.895,24.34,21.91833333,1457.06,2.598333333,Moderate,1,1,Low,1092.795,630.282416705,219.22866668000003,179.7675066776,Sustainable usage observed. Continue monitoring.
Australia,2020,484.79875,292.505,48.47375,23.68,27.54625,1549.61875,2.38,Moderate,1,1,Low,1162.2140625000002,557.5185624999999,193.9195,159.01398999999998,Sustainable usage observed. Continue monitoring.
Australia,2021,659.4511111,288.9488889,41.39111111,25.62333333,26.46444444,1640.824444,2.012222222,Moderate,1,1,Low,1230.6183330000001,758.368777765,263.78044444000005,216.29996444080004,Sustainable usage observed. Continue monitoring.
Australia,2022,477.698125,298.385,53.025625,25.974375,25.078125,1411.735625,2.84875,Moderate,1,1,Low,1058.80171875,549.3528437499999,191.07925,156.68498499999998,Sustainable usage observed. Continue monitoring.
Australia,2023,207.795,322.3866667,59.68833333,40.56833333,30.145,1297.586667,2.51,Low,1,1,Low,973.19000025,238.96424999999996,83.118,68.15675999999999,Sustainable usage observed. Continue monitoring.
Australia,2024,644.005,253.959,55.513,29.457,26.868,1535.133,1.656,Moderate,1,1,Low,1151.34975,740.60575,257.60200000000003,211.23364,Sustainable usage observed. Continue monitoring.
Brazil,2000,535.3028571,254.0585714,48.39285714,21.06285714,25.73428571,1835.337143,2.567142857,Moderate,2,1,Low,1376.50285725,615.5982856649999,214.12114284,175.5793371288,Sustainable usage observed. Continue monitoring.
Brazil,2001,639.0090909,200.5309091,54.66181818,34.16727273,21.84545455,1524.764545,2.799090909,Moderate,2,1,Low,1143.57340875,734.860454535,255.60363636000002,209.59498181520001,Sustainable usage observed. Continue monitoring.
Brazil,2002,433.875,286.586,54.407,24.681,23.399,2000.491,2.383,Moderate,2,1,Low,1500.36825,498.95624999999995,173.55,142.311,Sustainable usage observed. Continue monitoring.
Brazil,2003,613.36,346.6015385,55.85,30.47230769,27.44769231,1511.286923,2.877692308,Low,2,1,Low,1133.46519225,705.3639999999999,245.34400000000002,201.18208,Sustainable usage observed. Continue monitoring.
Brazil,2004,511.8836364,248.6281818,51.44727273,32.37363636,22.47090909,1641.064545,2.613636364,Moderate,2,1,Low,1230.79840875,588.6661818599999,204.75345456000002,167.8978327392,Sustainable usage observed. Continue monitoring.
Brazil,2005,560.6266667,274.1866667,47.74222222,26.63222222,19.81555556,1706.97,2.675555556,Moderate,2,1,Low,1280.2275,644.720666705,224.25066668,183.8855466776,Sustainable usage observed. Continue monitoring.
Brazil,2006,781.3428571,236.87,50.32571429,36.27,27.44428571,1818.135714,2.331428571,Moderate,2,1,Low,1363.6017855,898.5442856649998,312.53714284,256.2804571288,Sustainable usage observed. Continue monitoring.
Brazil,2007,642.8583333,285.6816667,52.52,26.15333333,17.37666667,1863.853333,2.211666667,Moderate,2,1,Low,1397.88999975,739.287083295,257.14333332,210.8575333224,Sustainable usage observed. Continue monitoring.
Brazil,2008,665.5016667,273.875,42.34,28.61333333,23.34333333,1356.306667,2.853333333,Moderate,2,1,Low,1017.2300002500001,765.3269167049999,266.20066668,218.28454667759996,Sustainable usage observed. Continue monitoring.
Brazil,2009,498.7066667,278.9455556,53.11,27.85666667,26.01222222,1459.541111,2.817777778,Moderate,2,1,Low,1094.65583325,573.512666705,199.48266668000002,163.5757866776,Sustainable usage observed. Continue monitoring.
Brazil,2010,337.0366667,230.1077778,55.20888889,21.98555556,25.16111111,1933.672222,1.643333333,Moderate,2,1,Low,1450.2541664999999,387.592166705,134.81466668000002,110.5480266776,Sustainable usage observed. Continue monitoring.
Brazil,2011,483.5825,266.6833333,47.615,25.46833333,28.005,1403.941667,2.779166667,Moderate,2,1,Low,1052.95625025,556.119875,193.433,158.61505999999997,Sustainable usage observed. Continue monitoring.
Brazil,2012,469.025,331.6375,36.3725,22.0175,25.9475,1650.935,2.2375,Low,2,1,Low,1238.20125,539.37875,187.61,153.8402,Sustainable usage observed. Continue monitoring.
Brazil,2013,562.74125,197.11875,47.295,18.0575,27.91625,1699.57875,2.78375,High,2,0,Low,1274.6840625,647.1524375,225.09650000000002,184.57913,Sustainable usage observed. Continue monitoring.
Brazil,2014,559.112,317.394,58.716,28.48133333,27.96533333,1647.265333,2.271333333,Low,2,1,Low,1235.44899975,642.9787999999999,223.6448,183.388736,Sustainable usage observed. Continue monitoring.
Brazil,2015,574.5815385,348.3384615,47.07307692,33.68461538,22.42307692,1569.433077,1.808461538,Low,2,1,Low,1177.07480775,660.768769275,229.8326154,188.462744628,Sustainable usage observed. Continue monitoring.
Brazil,2016,501.7923077,289.3046154,50.24923077,28.60307692,27.30692308,2017.038462,3.008461538,Moderate,2,1,Low,1512.7788464999999,577.0611538549999,200.71692308000002,164.5878769256,Sustainable usage observed. Continue monitoring.
Brazil,2017,574.563,292.3,45.357,27.285,26.176,1338.94,2.189,Moderate,2,1,Low,1004.205,660.74745,229.8252,188.456664,Sustainable usage observed. Continue monitoring.
Brazil,2018,287.1566667,248.6733333,42.20833333,26.99833333,27.89,1074.935,2.69,Moderate,2,1,Low,806.20125,330.230166705,114.86266668000002,94.1873866776,Sustainable usage observed. Continue monitoring.
Brazil,2019,497.8663636,228.5627273,60.82818182,25.43727273,24.23727273,1452.016364,2.879090909,Moderate,2,2,Moderate,1089.012273,572.5463181399999,199.14654544,163.3001672608,Preventive planning recommended: efficiency & rainfall resilience.
Brazil,2020,553.0541176,261.3735294,47.09529412,29.15352941,27.90882353,1771.814706,2.653529412,Moderate,2,1,Low,1328.8610294999999,636.01223524,221.22164704000002,181.4017505728,Sustainable usage observed. Continue monitoring.
Brazil,2021,457.14,264.78125,45.7425,27.22,21.1825,1620.69375,2.27875,Moderate,2,1,Low,1215.5203124999998,525.7109999999999,182.856,149.94191999999998,Sustainable usage observed. Continue monitoring.
Brazil,2022,417.748,289.605,53.949,22.364,24.084,1606.203,2.56,Moderate,2,1,Low,1204.65225,480.4102,167.0992,137.021344,Sustainable usage observed. Continue monitoring.
Brazil,2023,688.2325,336.95875,39.915,21.9125,26.52125,1420.54625,1.82875,Low,2,1,Low,1065.4096875,791.467375,275.293,225.74025999999998,Sustainable usage observed. Continue monitoring.
Brazil,2024,417.18875,309.9975,55.47,18.35625,23.85875,1354.0525,2.8725,Low,2,1,Low,1015.5393750000001,479.7670625,166.87550000000002,136.83791,Sustainable usage observed. Continue monitoring.
Canada,2000,382.5146154,236.62,51.28615385,21.67461538,26.30923077,1423.098462,2.273846154,Moderate,3,1,Low,1067.3238465,439.89180771,153.00584616,125.4647938512,Sustainable usage observed. Continue monitoring.
Canada,2001,336.8311111,360.4011111,49.65888889,29.44777778,24.85333333,1244.823333,2.134444444,Low,3,1,Low,933.61749975,387.35577776499997,134.73244444,110.4806044408,Sustainable usage observed. Continue monitoring.
Canada,2002,523.434,315.01,56.214,27.199,24.177,1902.677,3.398,Low,3,1,Low,1427.00775,601.9490999999999,209.3736,171.686352,Sustainable usage observed. Continue monitoring.
Canada,2003,346.3242857,196.96,49.38857143,34.52285714,27.11428571,1343.852857,2.988571429,High,3,0,Low,1007.8896427500001,398.27292855499996,138.52971428,113.5943657096,Sustainable usage observed. Continue monitoring.
Canada,2004,397.045,363.612,50.919,35.19,20.717,1820.441,2.459,Low,3,1,Low,1365.33075,456.60175,158.818,130.23076,Sustainable usage observed. Continue monitoring.
Canada,2005,511.832,223.712,46.746,29.47,21.278,1606.15,3.928,Moderate,3,1,Low,1204.6125000000002,588.6067999999999,204.7328,167.88089599999998,Sustainable usage observed. Continue monitoring.
Canada,2006,748.4233333,319.7166667,55.50333333,43.58333333,21.82666667,1202.826667,2.54,Low,3,1,Low,902.12000025,860.6868332949999,299.36933332,245.4828533224,Sustainable usage observed. Continue monitoring.
Canada,2007,572.6066667,270.1277778,49.50666667,28.00555556,23.99555556,1688.984444,1.99,Moderate,3,1,Low,1266.738333,658.4976667049999,229.04266668000002,187.81498667760002,Sustainable usage observed. Continue monitoring.
Canada,2008,522.7742857,236.3428571,42.83857143,30.79285714,21.55285714,1010.11,3.74,Moderate,3,1,Low,757.5825,601.1904285549999,209.10971428,171.4699657096,Sustainable usage observed. Continue monitoring.
Canada,2009,361.4271429,220.7835714,45.11,27.53642857,25.85642857,1851.837143,2.993571429,Moderate,3,1,Low,1388.87785725,415.6412143349999,144.57085716,118.5481028712,Sustainable usage observed. Continue monitoring.
Canada,2010,532.35,218.36875,54.685,31.305,26.1275,1776.94125,3.1825,Moderate,3,1,Low,1332.7059375000001,612.2025,212.94000000000003,174.6108,Sustainable usage observed. Continue monitoring.
Canada,2011,538.9313333,333.4326667,57.00333333,25.74,25.19066667,1949.646667,2.631333333,Low,3,1,Low,1462.23500025,619.7710332949999,215.57253332000002,176.7694773224,Sustainable usage observed. Continue monitoring.
Canada,2012,478.68375,264.65375,47.1725,30.0575,24.465,1403.48625,2.97625,Moderate,3,1,Low,1052.6146875,550.4863124999999,191.4735,157.00826999999998,Sustainable usage observed. Continue monitoring.
Canada,2013,460.666,140.288,49.074,38.574,26.216,1733.832,2.532,High,3,0,Low,1300.374,529.7659,184.2664,151.098448,Sustainable usage observed. Continue monitoring.
Canada,2014,563.8890909,192.1927273,42.29727273,28.48363636,23.93454545,1622.126364,3.225454545,High,3,0,Low,1216.594773,648.472454535,225.55563636000002,184.9556218152,Sustainable usage observed. Continue monitoring.
Canada,2015,367.232,318.078,46.974,27.834,32.21,1586.67,4.114,Low,3,1,Low,1190.0025,422.3168,146.89280000000002,120.45209600000001,Sustainable usage observed. Continue monitoring.
Canada,2016,568.3621053,255.0647368,46.92263158,23.71736842,24.36210526,1488.141579,2.496842105,Moderate,3,1,Low,1116.10618425,653.616421095,227.34484212000004,186.42277053840002,Sustainable usage observed. Continue monitoring.
Canada,2017,386.1366667,181.9433333,52.955,34.02666667,27.52,2060.451667,2.68,High,3,0,Low,1545.33875025,444.05716670499993,154.45466668,126.65282667759999,Sustainable usage observed. Continue monitoring.
Canada,2018,563.8364286,301.8814286,50.54857143,27.85214286,23.12071429,1431.243571,2.653571429,Low,3,1,Low,1073.43267825,648.4118928899999,225.53457144,184.93834858079998,Sustainable usage observed. Continue monitoring.
Canada,2019,545.6142857,330.0142857,55.50714286,26.14,22.36428571,1200.763571,3.002142857,Low,3,1,Low,900.57267825,627.4564285549999,218.24571428000002,178.9614857096,Sustainable usage observed. Continue monitoring.
Canada,2020,445.1363636,315.7736364,46.30636364,27.50545455,25.50727273,1165.987273,2.376363636,Low,3,1,Low,874.49045475,511.9068181399999,178.05454544,146.0047272608,Sustainable usage observed. Continue monitoring.
Canada,2021,597.2784615,277.4907692,51.01769231,29.44538462,26.06384615,1350.286154,2.098461538,Moderate,3,1,Low,1012.7146154999999,686.870230725,238.91138460000002,195.907335372,Sustainable usage observed. Continue monitoring.
Canada,2022,470.68,260.4033333,53.52111111,28.25,22.12,1277.861111,2.641111111,Moderate,3,1,Low,958.3958332499999,541.2819999999999,188.27200000000002,154.38304,Sustainable usage observed. Continue monitoring.
Canada,2023,653.7088889,333.3888889,50.0,23.55333333,26.95222222,1161.61,2.785555556,Low,3,1,Low,871.2075,751.765222235,261.48355556,214.4165155592,Sustainable usage observed. Continue monitoring.
Canada,2024,476.976875,216.31125,57.044375,26.726875,26.4175,1312.939375,3.0,Moderate,3,1,Low,984.70453125,548.52340625,190.79075,156.44841499999998,Sustainable usage observed. Continue monitoring.
China,2000,681.0283333,304.215,59.855,29.28833333,31.20166667,1162.198333,2.95,Low,4,1,Low,871.64874975,783.182583295,272.41133332,223.37729332239996,Sustainable usage observed. Continue monitoring.
China,2001,611.81,338.03125,49.53,27.50875,24.2175,2039.9125,2.94375,Low,4,1,Low,1529.9343749999998,703.5814999999999,244.724,200.67368,Sustainable usage observed. Continue monitoring.
China,2002,440.7053846,236.3661538,48.57923077,30.26307692,26.95692308,1538.954615,2.877692308,Moderate,4,1,Low,1154.21596125,506.81119228999995,176.28215384,144.55136614879999,Sustainable usage observed. Continue monitoring.
China,2003,560.2175,254.99,47.54375,30.1575,21.235,1030.6175,2.76875,Moderate,4,1,Low,772.963125,644.2501249999999,224.087,183.75133999999997,Sustainable usage observed. Continue monitoring.
China,2004,798.418,332.616,49.508,32.036,26.33,1494.778,2.802,Low,4,1,Low,1121.0835,918.1806999999999,319.3672,261.881104,Sustainable usage observed. Continue monitoring.
China,2005,561.7107692,269.9892308,60.50538462,31.58615385,24.89307692,1564.781538,2.165384615,Moderate,4,2,Moderate,1173.5861535,645.9673845799999,224.68430768,184.2411322976,Preventive planning recommended: efficiency & rainfall resilience.
China,2006,455.5545455,296.5945455,45.90090909,23.29,27.98454545,1801.888182,2.977272727,Moderate,4,1,Low,1351.4161365,523.887727325,182.22181820000003,149.42189092400002,Sustainable usage observed. Continue monitoring.
China,2007,462.5009091,266.9436364,56.33090909,23.10636364,27.83636364,1444.176364,3.033636364,Moderate,4,1,Low,1083.132273,531.876045465,185.00036364000002,151.7002981848,Sustainable usage observed. Continue monitoring.
China,2008,558.4945455,299.8290909,47.24454545,24.14818182,21.31909091,1226.450909,3.698181818,Moderate,4,1,Low,919.8381817499999,642.2687273249999,223.3978182,183.186210924,Sustainable usage observed. Continue monitoring.
China,2009,383.6785714,247.7771429,56.41428571,27.73285714,23.78857143,1109.032857,3.081428571,Moderate,4,1,Low,831.7746427499999,441.23035711,153.47142856000002,125.8465714192,Sustainable usage observed. Continue monitoring.
China,2010,557.6533333,252.5793333,54.532,30.60133333,26.17533333,1626.742667,1.541333333,Moderate,4,1,Low,1220.0570002499999,641.301333295,223.06133332000002,182.9102933224,Sustainable usage observed. Continue monitoring.
China,2011,578.89,262.365,58.845,30.8525,28.305,1197.7875,2.2475,Moderate,4,1,Low,898.3406249999999,665.7235,231.556,189.87592,Sustainable usage observed. Continue monitoring.
China,2012,542.623,299.206,48.454,27.471,19.249,1929.226,2.306,Moderate,4,1,Low,1446.9195,624.01645,217.04920000000004,177.98034400000003,Sustainable usage observed. Continue monitoring.
China,2013,543.57,261.1914286,53.80428571,25.29,24.46857143,1088.364286,1.625714286,Moderate,4,1,Low,816.2732145,625.1055,217.42800000000003,178.29096,Sustainable usage observed. Continue monitoring.
China,2014,624.3155556,288.2322222,55.65333333,28.84222222,26.51111111,1302.847778,2.283333333,Moderate,4,1,Low,977.1358335,717.96288894,249.72622224000003,204.7755022368,Sustainable usage observed. Continue monitoring.
China,2015,347.4677778,182.4388889,47.64,26.65111111,25.84888889,1616.388889,3.206666667,High,4,0,Low,1212.29166675,399.58794446999997,138.98711112,113.9694311184,Sustainable usage observed. Continue monitoring.
China,2016,524.2093333,289.5946667,51.64733333,32.768,28.11466667,1755.536667,3.066,Moderate,4,1,Low,1316.65250025,602.840733295,209.68373332000002,171.9406613224,Sustainable usage observed. Continue monitoring.
China,2017,525.1928571,299.985,58.73428571,30.68357143,28.44214286,2011.710714,2.136428571,Moderate,4,1,Low,1508.7830355,603.971785665,210.07714284,172.26325712879998,Sustainable usage observed. Continue monitoring.
China,2018,510.1583333,333.8425,54.6525,25.3025,25.25583333,1725.075,2.175833333,Low,4,1,Low,1293.80625,586.682083295,204.06333332,167.33193332239998,Sustainable usage observed. Continue monitoring.
China,2019,607.9222222,291.7477778,56.23888889,26.22666667,28.19666667,1634.894444,2.55,Moderate,4,1,Low,1226.1708330000001,699.1105555299999,243.16888888,199.39848888159997,Sustainable usage observed. Continue monitoring.
China,2020,415.4814286,246.5278571,47.83357143,28.22571429,23.76214286,1845.061429,2.253571429,Moderate,4,1,Low,1383.79607175,477.80364289,166.19257144000002,136.27790858080002,Sustainable usage observed. Continue monitoring.
China,2021,436.1333333,261.1344444,40.21666667,25.81,26.01111111,1528.583333,2.482222222,Moderate,4,1,Low,1146.43749975,501.55333329499996,174.45333332,143.0517333224,Sustainable usage observed. Continue monitoring.
China,2022,528.547,273.902,46.55,26.054,22.024,1786.207,2.078,Moderate,4,1,Low,1339.65525,607.8290499999999,211.41880000000003,173.36341600000003,Sustainable usage observed. Continue monitoring.
China,2023,369.989,364.445,45.533,26.864,23.03,1682.639,2.361,Low,4,1,Low,1261.9792499999999,425.48734999999994,147.9956,121.35639199999999,Sustainable usage observed. Continue monitoring.
China,2024,507.325,253.1391667,50.8875,25.61,26.77833333,1796.505833,2.5125,Moderate,4,1,Low,1347.37937475,583.4237499999999,202.93,166.4026,Sustainable usage observed. Continue monitoring.
France,2000,488.93375,220.8825,56.37125,21.8425,25.03,1408.97,3.01875,Moderate,5,1,Low,1056.7275,562.2738125,195.5735,160.37026999999998,Sustainable usage observed. Continue monitoring.
France,2001,521.4983333,265.4566667,45.48666667,24.46083333,26.88333333,1611.866667,2.430833333,Moderate,5,1,Low,1208.90000025,599.7230832949999,208.59933332000003,171.05145332240002,Sustainable usage observed. Continue monitoring.
France,2002,559.8588889,271.6822222,43.04444444,29.07111111,27.58222222,1759.964444,2.898888889,Moderate,5,1,Low,1319.973333,643.837722235,223.94355556000002,183.6337155592,Sustainable usage observed. Continue monitoring.
France,2003,496.7457143,355.3864286,48.725,27.32714286,22.945,1629.193571,3.2,Low,5,1,Low,1221.89517825,571.2575714449999,198.69828572,162.9325942904,Sustainable usage observed. Continue monitoring.
France,2004,639.9192308,351.1707692,48.55769231,28.46,24.10153846,1543.357692,1.962307692,Low,5,1,Low,1157.5182690000001,735.90711542,255.96769232000003,209.8935077024,Sustainable usage observed. Continue monitoring.
France,2005,468.018,277.3433333,49.49533333,21.51133333,25.398,1758.994667,2.709333333,Moderate,5,1,Low,1319.24600025,538.2207,187.2072,153.50990399999998,Sustainable usage observed. Continue monitoring.
France,2006,479.364,279.85,46.83,25.544,22.986,1694.736,2.208,Moderate,5,1,Low,1271.0520000000001,551.2685999999999,191.7456,157.231392,Sustainable usage observed. Continue monitoring.
France,2007,444.3490909,287.8509091,44.73545455,24.66818182,22.42545455,1251.492727,3.149090909,Moderate,5,1,Low,938.6195452500001,511.001454535,177.73963636000002,145.74650181520002,Sustainable usage observed. Continue monitoring.
